name,type,star_rating,review_sum,address,월opening_hours,월last_order_time,화opening_hours,화last_order_time,수opening_hours,수last_order_time,목opening_hours,목last_order_time,금opening_hours,금last_order_time,토opening_hours,토last_order_time,일opening_hours,일last_order_time,contact
엔드그리고,와인,0.0,46,서울 서대문구 홍제천로 186 엔드그리고,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,0507-1426-1797
케이바,바(BAR),0.0,109,서울 서대문구 연희로 100 지층,정보없음,정보 없음,19:00-25:00,정보 없음,19:00-25:00,정보 없음,19:00-25:00,정보 없음,19:00-25:00,정보 없음,19:00-25:00,정보 없음,정보없음,정보 없음,0507-1301-4665
떼 뮤즐렛 와인샵앤바,와인,4.9,212,서울 서대문구 연희맛로 24 2층,13:00-21:00,정보 없음,휴무,정보 없음,휴무,정보 없음,13:00-21:00,정보 없음,13:00-21:00,정보 없음,13:00-21:00,정보 없음,13:00-21:00,정보 없음,0507-1307-6316
밤스밤스,요리주점,0.0,139,서울 서대문구 연희맛로 24 103호 1층 유리문,17:00-23:00,22:00,17:00-23:00,22:00,17:00-23:00,22:00,17:00-23:00,22:00,17:00-23:00,22:00,16:00-23:00,22:00,휴무,22:00,0507-1387-2997
사까야,이자카야,4.75,158,서울 서대문구 연희로 185 한영빌딩,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:30,정보 없음,17:00-25:30,정보 없음,17:00-25:00,정보 없음,0507-1377-6862
감성매인,요리주점,4.79,116,서울 서대문구 연희로11가길 56 1층 감성매인,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-25:00,정보 없음,02-332-7447
잘들어,포장마차,4.42,138,서울 서대문구 연희맛로 7 1층 휴먼감성포차 잘들어,17:30-28:00,03:00,17:30-28:00,03:00,17:30-28:00,03:00,17:30-28:00,03:00,17:30-28:00,03:00,17:30-28:00,03:00,17:30-28:00,03:00,02-797-0197
원,이자카야,4.7,110,서울 서대문구 연희로 151 1층,18:00-26:30,정보 없음,18:00-26:30,정보 없음,18:00-26:30,정보 없음,18:00-26:30,정보 없음,18:00-26:30,정보 없음,18:00-26:30,정보 없음,18:00-26:30,정보 없음,02-333-1195
인생건어물,포장마차,4.37,148,서울 서대문구 연희맛로 29,17:00-26:00,01:30,17:00-26:00,01:30,17:00-26:00,01:30,17:00-26:00,01:30,17:00-26:00,01:30,17:00-26:00,01:30,17:00-26:00,01:30,0507-1343-7037
태성골뱅이신사 연희점,요리주점,0.0,85,서울 서대문구 연희맛로 2-3 1층 태성골뱅이,16:00-27:00,02:00,16:00-27:00,02:00,16:00-27:00,02:00,16:00-27:00,02:00,16:00-27:00,02:00,15:00-27:00,02:00,15:00-27:00,02:00,0507-1309-3818
케그스테이션,"맥주,호프",4.68,80,서울 서대문구 연희맛로 23 사러가쇼핑,휴무,정보 없음,12:00-22:00,정보 없음,12:00-22:00,정보 없음,12:00-22:00,정보 없음,12:00-22:00,정보 없음,12:00-22:00,정보 없음,12:00-22:00,정보 없음,02-332-7138
연희가맥,요리주점,0.0,11,서울 서대문구 연희로 93-7 제1층 제101호 연희가맥,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,휴무,정보 없음,0507-1388-1177
서울무궁화,바(BAR),0.0,48,서울 서대문구 증가로 49-1 1층,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,010-4130-0120
하우스와인,와인,0.0,25,서울 서대문구 연희로 178 2층,휴무,정보 없음,16:00-24:00,23:30,16:00-24:00,23:30,16:00-24:00,23:30,16:00-24:00,23:30,16:00-24:00,23:30,휴무,정보 없음,02-332-8488
연희노가리,요리주점,4.59,88,서울 서대문구 연희로8길 5-3,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
연희비어,"맥주,호프",4.31,92,서울 서대문구 연희맛로 5,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,17:00-24:00,정보 없음,02-3144-1019
낭만주객,포장마차,4.27,74,서울 서대문구 연희맛로 7-8 1층,휴무,정보 없음,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-24:00,정보 없음,0507-1366-6856
낱낱이봄,와인,4.75,18,서울 서대문구 연희로10가길 50 101호,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,휴무,정보 없음,0507-1305-9857
케이브,바(BAR),0.0,4,서울 서대문구 연희맛로 24 2층 201호,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,02-6401-7015
가을,바(BAR),0.0,0,서울 서대문구 연희맛로 7,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,휴무,정보 없음,010-6569-1537
MAGO,와인,0.0,0,서울 서대문구 증가로 13,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,휴무,정보 없음,02-324-2060
상구비어 연희점,"맥주,호프",4.17,62,서울 서대문구 연희로 81-15 2층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,02-334-3982
와이즐리 더 퀸,바(BAR),0.0,1,서울 서대문구 연희맛로 6 6층,18:00-22:00,정보 없음,18:00-22:00,정보 없음,18:00-22:00,정보 없음,18:00-22:00,정보 없음,18:00-22:00,정보 없음,18:00-22:00,정보 없음,18:00-22:00,정보 없음,0507-1429-7339
JH bar,바(BAR),0.0,0,서울 서대문구 연희로 94 1층 JH Bar,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,휴무,정보 없음,휴무,정보 없음,0507-1352-7947
빅스,요리주점,0.0,8,서울 서대문구 연희맛로 31,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,02-3144-2606
니퍼클럽,요리주점,0.0,3,서울 서대문구 연희로 81-21 정암빌딩,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,02-332-5844
마고,와인,0.0,1,서울 서대문구 증가로 13 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
백색소음,와인,4.71,190,서울 서대문구 연희로 38-12,휴무,정보 없음,휴무,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-26:00,정보 없음,17:30-27:00,정보 없음,17:30-36:00,정보 없음,010-3099-5882
레이씨,요리주점,4.65,226,서울 서대문구 연희맛로 17-14 이층,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,정보 없음,정보 없음,0507-1309-4390
공작 퓨전 비스트로,요리주점,4.88,800,서울 서대문구 연희맛로 17-35 1층,16:00-24:00,23:00,16:00-24:00,23:00,16:00-24:00,23:00,16:00-24:00,23:00,16:00-25:00,00:00,16:00-25:00,00:00,15:00-24:00,23:00,0507-1373-5433
희로,이자카야,4.58,463,서울 서대문구 성산로 325,17:00-24:00,정보 없음,17:00-24:00,정보 없음,휴무,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,정보 없음
정리의밤,요리주점,4.82,159,서울 서대문구 연희맛로 31-10 정리의밤,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,휴무,23:00,010-9469-3102
미정,요리주점,0.0,409,서울 서대문구 연희로11가길 53,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-24:00,23:00,0507-1362-4454
마세,요리주점,4.58,240,서울 서대문구 연희로11가길 47,정보 없음,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,0507-1403-7292
연술,요리주점,0.0,224,서울 서대문구 연희맛로 17-13 2층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1361-0075
야식포차,포장마차,4.47,172,서울 서대문구 성산로 337,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1329-4452
요릿집,요리주점,4.72,299,서울 서대문구 연희맛로 36,18:00-24:00,정보 없음,18:00-24:00,정보 없음,휴무,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,17:00-24:00,정보 없음,18:00-24:00,정보 없음,02-395-7004
레이씨,요리주점,4.65,226,서울 서대문구 연희맛로 17-14 이층,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,정보 없음,정보 없음,0507-1309-4390
또또,요리주점,0.0,57,서울 서대문구 홍제천로6길 2 1층(연희동),정보 없음,정보 없음,18:00-25:00,00:00,18:00-25:00,00:00,18:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,휴무,정보 없음,0507-1358-7312
카덴,이자카야,4.06,870,서울 서대문구 연희로 173 거화빌딩,휴무,정보 없음,11:30-22:00,정보 없음,11:30-22:00,정보 없음,11:30-22:00,정보 없음,11:30-22:00,정보 없음,11:30-22:00,정보 없음,휴무,정보 없음,02-3142-6362
드렁크몽크,바(BAR),4.61,100,서울 서대문구 연희맛로 3-4 히든플레이스 지하 1층,19:00-28:00,03:30,19:00-28:00,03:30,19:00-28:00,03:30,19:00-28:00,03:30,19:00-28:00,03:30,19:00-28:00,03:30,19:00-28:00,03:30,010-4388-7587
심두,바(BAR),4.77,278,서울 서대문구 홍연길 82 2층 202호,휴무,정보 없음,휴무,정보 없음,12:00-16:00,정보 없음,12:00-16:00,정보 없음,12:00-16:00,정보 없음,12:00-18:00,15:00 - 16:00 브레이크타임,12:00-18:00,정보 없음,0507-1498-0517
탭스터,"맥주,호프",4.83,374,서울 서대문구 증가로 1 103호,휴무,정보 없음,휴무,정보 없음,18:00-23:00,21:30,18:00-23:00,21:30,18:00-23:00,21:30,17:00-23:00,21:30,17:00-23:00,정보 없음,0507-1337-2448
울프,요리주점,0.0,4,서울 서대문구 연희로 153 1층 1호,17:00-25:30,00:30,17:00-25:30,00:30,17:00-25:30,00:30,17:00-25:30,00:30,17:00-25:30,00:30,17:00-25:30,00:30,17:00-25:30,00:30,0507-1383-8218
백색소음,와인,4.71,190,서울 서대문구 연희로 38-12,휴무,정보 없음,휴무,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-26:00,정보 없음,17:30-27:00,정보 없음,17:30-36:00,정보 없음,010-3099-5882
연희 38 애비뉴,요리주점,4.65,346,서울 서대문구 연희맛로 38 인준빌딩 B1,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,휴무,정보 없음,02-332-3801
코블러 연희,바(BAR),4.63,217,서울 서대문구 연희맛로 31-9 1층,19:00-27:00,02:30,19:00-27:00,02:30,19:00-27:00,02:30,19:00-27:00,02:30,19:00-27:00,02:30,19:00-27:00,02:30,19:00-27:00,02:30,010-4045-6421
192전집,요리주점,4.3,76,서울 서대문구 연희맛로 5 192전집,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,휴무,01:00,0507-1322-3664
신기루빠,요리주점,0.0,197,서울 서대문구 연희로15길 27 2층 신기루빠,휴무,정보 없음,11:30-22:30,15:00 - 17:00 브레이크타임,11:30-22:30,15:00 - 17:00 브레이크타임,11:30-22:30,15:00 - 17:00 브레이크타임,11:30-23:30,15:00 - 17:00 브레이크타임,11:30-23:30,22:00,11:30-22:30,정보 없음,0507-1328-4741
신기루빠,요리주점,0.0,197,서울 서대문구 연희로15길 27 2층 신기루빠,휴무,정보 없음,11:30-22:30,15:00 - 17:00 브레이크타임,11:30-22:30,15:00 - 17:00 브레이크타임,11:30-22:30,15:00 - 17:00 브레이크타임,11:30-23:30,15:00 - 17:00 브레이크타임,11:30-23:30,22:00,11:30-22:30,정보 없음,0507-1328-4741
연술,요리주점,0.0,224,서울 서대문구 연희맛로 17-13 2층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1361-0075
디파트먼트 이엔,와인,0.0,167,서울 서대문구 연희로 48-22 1층,13:00-23:00,17:00 - 19:00 브레이크타임,13:00-23:00,17:00 - 19:00 브레이크타임,13:00-23:00,17:00 - 19:00 브레이크타임,13:00-23:00,17:00 - 19:00 브레이크타임,13:00-24:00,23:00,정보 없음,정보 없음,16:00-20:00,17:00 - 19:00 브레이크타임,02-6205-1017
크래프트비어칸,"맥주,호프",4.77,200,서울 서대문구 연희로11길 7 B1층 크래프트비어칸,17:30-24:00,정보 없음,17:30-24:00,정보 없음,17:30-24:00,정보 없음,17:30-24:00,정보 없음,17:30-24:00,정보 없음,17:30-24:00,정보 없음,휴무,정보 없음,02-325-7903
비스트로카덴,와인,4.19,95,서울 서대문구 연희로25길 12,휴무,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,휴무,정보 없음,02-332-6362
엔드그리고,와인,0.0,46,서울 서대문구 홍제천로 186 엔드그리고,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,0507-1426-1797
케이바,바(BAR),0.0,109,서울 서대문구 연희로 100 지층,정보없음,정보 없음,19:00-25:00,정보 없음,19:00-25:00,정보 없음,19:00-25:00,정보 없음,19:00-25:00,정보 없음,19:00-25:00,정보 없음,정보없음,정보 없음,0507-1301-4665
떼 뮤즐렛 와인샵앤바,와인,4.9,212,서울 서대문구 연희맛로 24 2층,13:00-21:00,정보 없음,휴무,정보 없음,휴무,정보 없음,13:00-21:00,정보 없음,13:00-21:00,정보 없음,13:00-21:00,정보 없음,13:00-21:00,정보 없음,0507-1307-6316
밤스밤스,요리주점,0.0,139,서울 서대문구 연희맛로 24 103호 1층 유리문,17:00-23:00,22:00,17:00-23:00,22:00,17:00-23:00,22:00,17:00-23:00,22:00,17:00-23:00,22:00,16:00-23:00,22:00,휴무,22:00,0507-1387-2997
사까야,이자카야,4.75,158,서울 서대문구 연희로 185 한영빌딩,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:30,정보 없음,17:00-25:30,정보 없음,17:00-25:00,정보 없음,0507-1377-6862
감성매인,요리주점,4.79,116,서울 서대문구 연희로11가길 56 1층 감성매인,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-25:00,정보 없음,02-332-7447
잘들어,포장마차,4.42,138,서울 서대문구 연희맛로 7 1층 휴먼감성포차 잘들어,17:30-28:00,03:00,17:30-28:00,03:00,17:30-28:00,03:00,17:30-28:00,03:00,17:30-28:00,03:00,17:30-28:00,03:00,17:30-28:00,03:00,02-797-0197
원,이자카야,4.7,110,서울 서대문구 연희로 151 1층,18:00-26:30,정보 없음,18:00-26:30,정보 없음,18:00-26:30,정보 없음,18:00-26:30,정보 없음,18:00-26:30,정보 없음,18:00-26:30,정보 없음,18:00-26:30,정보 없음,02-333-1195
인생건어물,포장마차,4.37,148,서울 서대문구 연희맛로 29,17:00-26:00,01:30,17:00-26:00,01:30,17:00-26:00,01:30,17:00-26:00,01:30,17:00-26:00,01:30,17:00-26:00,01:30,17:00-26:00,01:30,0507-1343-7037
태성골뱅이신사 연희점,요리주점,0.0,85,서울 서대문구 연희맛로 2-3 1층 태성골뱅이,16:00-27:00,02:00,16:00-27:00,02:00,16:00-27:00,02:00,16:00-27:00,02:00,16:00-27:00,02:00,15:00-27:00,02:00,15:00-27:00,02:00,0507-1309-3818
케그스테이션,"맥주,호프",4.68,80,서울 서대문구 연희맛로 23 사러가쇼핑,휴무,정보 없음,12:00-22:00,정보 없음,12:00-22:00,정보 없음,12:00-22:00,정보 없음,12:00-22:00,정보 없음,12:00-22:00,정보 없음,12:00-22:00,정보 없음,02-332-7138
연희가맥,요리주점,0.0,11,서울 서대문구 연희로 93-7 제1층 제101호 연희가맥,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,휴무,정보 없음,0507-1388-1177
서울무궁화,바(BAR),0.0,48,서울 서대문구 증가로 49-1 1층,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,010-4130-0120
하우스와인,와인,0.0,25,서울 서대문구 연희로 178 2층,휴무,정보 없음,16:00-24:00,23:30,16:00-24:00,23:30,16:00-24:00,23:30,16:00-24:00,23:30,16:00-24:00,23:30,휴무,정보 없음,02-332-8488
연희노가리,요리주점,4.59,88,서울 서대문구 연희로8길 5-3,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
연희비어,"맥주,호프",4.31,92,서울 서대문구 연희맛로 5,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,17:00-24:00,정보 없음,02-3144-1019
낭만주객,포장마차,4.27,74,서울 서대문구 연희맛로 7-8 1층,휴무,정보 없음,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-24:00,정보 없음,0507-1366-6856
낱낱이봄,와인,4.75,18,서울 서대문구 연희로10가길 50 101호,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,휴무,정보 없음,0507-1305-9857
