shop_name,shop_type,shop_star_rating,shop_address,월opening_hours,월last_order_time,화opening_hours,화last_order_time,수opening_hours,수last_order_time,목opening_hours,목last_order_time,금opening_hours,금last_order_time,토opening_hours,토last_order_time,일opening_hours,일last_order_time,shop_contact
연주방,요리주점,4.51,서울 마포구 동교로46길 7 주차장 쪽 반지층,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,16:00-25:00,정보 없음,16:00-25:00,정보 없음,16:00-24:00,정보 없음,010-4346-4026
열정타코,요리주점,4.51,서울 마포구 동교로46길 7 주차장 쪽 반지층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,010-4346-4026
이제,요리주점,정보 없음,서울 마포구 동교로 256-3 미소빌딩 1층,17:00-23:00,22:00,휴무,정보 없음,17:00-23:00,22:00,17:00-23:00,22:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-23:00,22:00,0507-1414-1599
계담다,요리주점,4.43,"서울 마포구 동교로38길 33-20 지1층, 1층",12:00-25:00,00:00,12:00-25:00,00:00,12:00-25:00,00:00,12:00-25:00,00:00,12:00-26:00,01:00,12:00-26:00,01:00,12:00-25:00,00:00,0507-1321-1881
쏘슐랭,요리주점,4.43,"서울 마포구 동교로38길 33-20 지1층, 1층",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1321-1881
시실리,요리주점,정보 없음,서울 마포구 성미산로 198,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-28:00,정보 없음,17:00-28:00,정보 없음,17:00-27:00,정보 없음,0507-1309-8117
바다약방,요리주점,정보 없음,서울 마포구 동교로 266-11 1층 바다약방,정보 없음,정보 없음,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-26:00,01:00,16:00-26:00,01:00,16:00-24:00,정보 없음,0507-1420-9015
콘티키빠,요리주점,4.94,서울 마포구 동교로 227-1 지하 1층,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-27:00,02:00,17:00-27:00,02:00,17:00-26:00,01:00,010-2105-3760
무채색 숲,요리주점,4.94,서울 마포구 동교로 227-1 지하 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,010-2105-3760
다이닝 야경,이자카야,4.58,서울 마포구 성미산로 189-6 101호,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,16:00-25:00,00:00,16:00-24:00,00:00,0507-1367-7780
무명요리사,이자카야,4.58,서울 마포구 성미산로 189-6 101호,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1367-7780
쿠시파파,이자카야,4.63,서울 마포구 동교로 256-4 지층 쿠시파파,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-25:00,정보 없음,0507-1323-3889
루나씨엘로,와인,4.63,서울 마포구 동교로 256-4 지층 쿠시파파,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1323-3889
바란스,술집,정보 없음,서울 마포구 동교로 266-5 1층,휴무,정보 없음,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,정보 없음,010-8441-4846
라온,요리주점,정보 없음,서울 마포구 동교로 266-6 반지층,정보 없음,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-24:00,정보 없음,02-2088-6244
연남고집,요리주점,4.82,서울 마포구 동교로38길 7,17:00-25:00,00:00,휴무,정보 없음,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,0507-1354-2457
하나킨,이자카야,4.82,서울 마포구 동교로38길 7,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1354-2457
스탠딩박스,이자카야,정보 없음,서울 마포구 동교로36길 7 101호,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,16:00-24:00,정보 없음,0507-1341-4531
이주방,요리주점,4.57,서울 마포구 연희로 33 2층,17:00-24:00,정보 없음,휴무,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,0507-1373-3618
카시,이자카야,4.57,서울 마포구 연희로 33 2층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1373-3618
장농속,"맥주,호프",정보 없음,서울 마포구 동교로46길 22,정보 없음,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,14:00-25:00,정보 없음,14:00-25:00,정보 없음,070-4065-6212
모이정,이자카야,4.54,서울 마포구 성미산로 122 1층,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,0507-1381-2885
노라,이자카야,4.54,서울 마포구 성미산로 122 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1381-2885
모모키친,이자카야,4.36,서울 마포구 동교로34길 3 1층,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-27:00,02:00,17:00-27:00,02:00,17:00-26:00,01:00,010-4340-3973
88노가리 연남하우스,"맥주,호프",4.36,서울 마포구 동교로34길 3 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,010-4340-3973
이끔,요리주점,정보 없음,서울 마포구 동교로46길 24-2 2층 이끔,정보 없음,정보 없음,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,정보 없음,010-4169-6302
이자카야라쿤,이자카야,4.75,서울 마포구 성미산로29안길 29 라쿤,정보 없음,정보 없음,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,정보 없음,0507-1315-0849
미드나잇 키친 연남점,요리주점,4.75,서울 마포구 성미산로29안길 29 라쿤,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1315-0849
불철,이자카야,정보 없음,서울 마포구 동교로 266-10 B102호 불철,휴무,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,0507-1341-1974
쿠루미 1호점,이자카야,4.52,서울 마포구 동교로 242-13 2층,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-24:00,00:00,0507-1401-7315
화령,요리주점,4.52,서울 마포구 동교로 242-13 2층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1401-7315
리파인 연남점,요리주점,정보 없음,서울 마포구 동교로 265 2층,정보 없음,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-25:00,정보 없음,0507-1366-2979
아카사니,이자카야,4.89,서울 마포구 동교로 278 1층,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,0507-1488-5060
모모,이자카야,4.89,서울 마포구 동교로 278 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1488-5060
비등점,이자카야,정보 없음,서울 마포구 동교로38안길 22 1층,정보 없음,정보 없음,휴무,정보 없음,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,정보 없음,0507-1367-3488
바란스,술집,정보 없음,서울 마포구 동교로 266-5 1층,휴무,정보 없음,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,정보 없음,010-8441-4846
미도리,이자카야,4.87,서울 마포구 동교로46길 16 지하1층,휴무,정보 없음,17:00-23:00,22:15,17:00-23:00,22:15,17:00-23:00,22:15,17:00-23:00,22:15,16:00-23:00,22:15,16:00-23:00,정보 없음,010-2299-1857
단단,이자카야,4.87,서울 마포구 동교로46길 16 지하1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,010-2299-1857
뚜이연남,요리주점,정보 없음,서울 마포구 동교로34길 11,휴무,정보 없음,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-24:00,정보 없음,0507-1376-0679
옥타,이자카야,정보 없음,서울 마포구 성미산로26길 42 샹글리라,휴무,정보 없음,18:00-23:00,정보 없음,18:00-23:00,정보 없음,18:00-23:00,정보 없음,18:00-23:00,정보 없음,18:00-23:00,정보 없음,휴무,정보 없음,02-325-8056
두루미,요리주점,4.68,서울 마포구 동교로51길 129-10 두루미,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,14:00-24:00,23:00,14:00-24:00,23:00,0507-1370-5133
고릴라요정,요리주점,4.68,서울 마포구 동교로51길 129-10 두루미,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1370-5133
이마치,요리주점,4.5,서울 마포구 성미산로29안길 19-7 2층 이마치 (1층은 심원 한 층 더 올라오세요),휴무,정보 없음,14:30-23:00,22:00,14:30-23:00,22:00,14:30-23:00,22:00,14:30-23:00,22:00,14:30-23:00,22:00,14:30-23:00,정보 없음,0507-1396-8557
달빛부엌,요리주점,4.5,서울 마포구 성미산로29안길 19-7 2층 이마치 (1층은 심원 한 층 더 올라오세요),휴무,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,17:30-25:00,정보 없음,17:30-25:00,정보 없음,18:00-24:00,정보 없음,02-322-3559
청화접,요리주점,정보 없음,서울 마포구 동교로 268 지하1층 청화접,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-24:00,23:00,0507-1333-6580
풍년숯불갈비,"육류,고기요리",4.41,서울 마포구 동교로 264,12:00-26:00,정보 없음,12:00-26:00,정보 없음,12:00-26:00,정보 없음,12:00-26:00,정보 없음,12:00-26:00,정보 없음,12:00-26:00,정보 없음,12:00-26:00,정보 없음,0507-1378-5818
청화접,요리주점,4.41,서울 마포구 동교로 264,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1378-5818
란콰이진 연남본점,요리주점,4.89,서울 마포구 성미산로29안길 27-6 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1439-0774
꼬요식당,요리주점,4.89,서울 마포구 성미산로29안길 27-6 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1410-8917
화담,요리주점,4.83,서울 마포구 동교로 275-1 꼬요식당,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-25:00,00:00,0507-1410-8917
소주방,요리주점,4.5,"서울 마포구 동교로 266-12 1층,2층",17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-26:00,정보 없음,16:00-26:00,정보 없음,17:00-24:00,정보 없음,0507-1351-0896
전주상회,요리주점,4.5,"서울 마포구 동교로 266-12 1층,2층",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1351-0896
요코쵸,이자카야,4.5,서울 마포구 성미산로 161-15 1층,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,02-324-8875
무채색,요리주점,4.5,서울 마포구 성미산로 161-15 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,02-324-8875
연주방,요리주점,4.51,서울 마포구 동교로46길 7 주차장 쪽 반지층,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,16:00-25:00,정보 없음,16:00-25:00,정보 없음,16:00-24:00,정보 없음,010-4346-4026
열정타코,요리주점,4.51,서울 마포구 동교로46길 7 주차장 쪽 반지층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,010-4346-4026
이제,요리주점,정보 없음,서울 마포구 동교로 256-3 미소빌딩 1층,17:00-23:00,22:00,휴무,정보 없음,17:00-23:00,22:00,17:00-23:00,22:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-23:00,22:00,0507-1414-1599
계담다,요리주점,4.43,"서울 마포구 동교로38길 33-20 지1층, 1층",12:00-25:00,00:00,12:00-25:00,00:00,12:00-25:00,00:00,12:00-25:00,00:00,12:00-26:00,01:00,12:00-26:00,01:00,12:00-25:00,00:00,0507-1321-1881
쏘슐랭,요리주점,4.43,"서울 마포구 동교로38길 33-20 지1층, 1층",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1321-1881
시실리,요리주점,정보 없음,서울 마포구 성미산로 198,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-28:00,정보 없음,17:00-28:00,정보 없음,17:00-27:00,정보 없음,0507-1309-8117
바다약방,요리주점,정보 없음,서울 마포구 동교로 266-11 1층 바다약방,정보 없음,정보 없음,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-26:00,01:00,16:00-26:00,01:00,16:00-24:00,정보 없음,0507-1420-9015
콘티키빠,요리주점,4.94,서울 마포구 동교로 227-1 지하 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,010-2105-3760
무채색 숲,요리주점,4.94,서울 마포구 동교로 227-1 지하 1층,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-27:00,02:00,17:00-27:00,02:00,17:00-26:00,01:00,010-2105-3760
다이닝 야경,이자카야,4.58,서울 마포구 성미산로 189-6 101호,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1367-7780
무명요리사,이자카야,4.58,서울 마포구 성미산로 189-6 101호,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,16:00-25:00,00:00,16:00-24:00,00:00,0507-1367-7780
쿠시파파,이자카야,4.63,서울 마포구 동교로 256-4 지층 쿠시파파,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-25:00,정보 없음,0507-1323-3889
루나씨엘로,와인,4.63,서울 마포구 동교로 256-4 지층 쿠시파파,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1323-3889
바란스,술집,정보 없음,서울 마포구 동교로 266-5 1층,휴무,정보 없음,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,정보 없음,010-8441-4846
라온,요리주점,정보 없음,서울 마포구 동교로 266-6 반지층,정보 없음,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-24:00,정보 없음,02-2088-6244
연남고집,요리주점,4.82,서울 마포구 동교로38길 7,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1354-2457
하나킨,이자카야,4.82,서울 마포구 동교로38길 7,17:00-25:00,00:00,휴무,정보 없음,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,0507-1354-2457
스탠딩박스,이자카야,정보 없음,서울 마포구 동교로36길 7 101호,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,16:00-24:00,정보 없음,0507-1341-4531
이주방,요리주점,4.57,서울 마포구 연희로 33 2층,17:00-24:00,정보 없음,휴무,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,0507-1373-3618
카시,이자카야,4.57,서울 마포구 연희로 33 2층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1373-3618
장농속,"맥주,호프",정보 없음,서울 마포구 동교로46길 22,정보 없음,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,14:00-25:00,정보 없음,14:00-25:00,정보 없음,070-4065-6212
모이정,이자카야,4.54,서울 마포구 성미산로 122 1층,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,0507-1381-2885
노라,이자카야,4.54,서울 마포구 성미산로 122 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1381-2885
모모키친,이자카야,4.36,서울 마포구 동교로34길 3 1층,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-27:00,02:00,17:00-27:00,02:00,17:00-26:00,01:00,010-4340-3973
88노가리 연남하우스,"맥주,호프",4.36,서울 마포구 동교로34길 3 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,010-4340-3973
이끔,요리주점,정보 없음,서울 마포구 동교로46길 24-2 2층 이끔,정보 없음,정보 없음,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,정보 없음,010-4169-6302
이자카야라쿤,이자카야,4.75,서울 마포구 성미산로29안길 29 라쿤,정보 없음,정보 없음,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,정보 없음,0507-1315-0849
미드나잇 키친 연남점,요리주점,4.75,서울 마포구 성미산로29안길 29 라쿤,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1315-0849
불철,이자카야,정보 없음,서울 마포구 동교로 266-10 B102호 불철,휴무,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,0507-1341-1974
쿠루미 1호점,이자카야,4.52,서울 마포구 동교로 242-13 2층,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-24:00,00:00,0507-1401-7315
화령,요리주점,4.52,서울 마포구 동교로 242-13 2층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1401-7315
리파인 연남점,요리주점,정보 없음,서울 마포구 동교로 265 2층,정보 없음,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-25:00,정보 없음,0507-1366-2979
아카사니,이자카야,4.89,서울 마포구 동교로 278 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1488-5060
모모,이자카야,4.89,서울 마포구 동교로 278 1층,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,0507-1488-5060
비등점,이자카야,정보 없음,서울 마포구 동교로38안길 22 1층,정보 없음,정보 없음,휴무,정보 없음,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,정보 없음,0507-1367-3488
바란스,술집,정보 없음,서울 마포구 동교로 266-5 1층,휴무,정보 없음,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,정보 없음,010-8441-4846
미도리,이자카야,4.87,서울 마포구 동교로46길 16 지하1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,010-2299-1857
단단,이자카야,4.87,서울 마포구 동교로46길 16 지하1층,휴무,정보 없음,17:00-23:00,22:15,17:00-23:00,22:15,17:00-23:00,22:15,17:00-23:00,22:15,16:00-23:00,22:15,16:00-23:00,정보 없음,010-2299-1857
뚜이연남,요리주점,정보 없음,서울 마포구 동교로34길 11,휴무,정보 없음,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-24:00,정보 없음,0507-1376-0679
옥타,이자카야,정보 없음,서울 마포구 성미산로26길 42 샹글리라,휴무,정보 없음,18:00-23:00,정보 없음,18:00-23:00,정보 없음,18:00-23:00,정보 없음,18:00-23:00,정보 없음,18:00-23:00,정보 없음,휴무,정보 없음,02-325-8056
두루미,요리주점,4.68,서울 마포구 동교로51길 129-10 두루미,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,14:00-24:00,23:00,14:00-24:00,23:00,0507-1370-5133
