create_time,area,name,type,star_rating,review_sum,address,mon_opening_hours,mon_last_order_time,tue_opening_hours,tue_last_order_time,wed_opening_hours,wed_last_order_time,thu_opening_hours,thu_last_order_time,fri_opening_hours,fri_last_order_time,sat_opening_hours,sat_last_order_time,sun_opening_hours,sun_last_order_time,contact
2023-07-26 16:54:42,mangwon,트릴로지,이자카야,0.0,296,서울 마포구 방울내로11길 26 101호,20:00-25:00,정보 없음,휴무,정보 없음,20:00-25:00,정보 없음,20:00-25:00,정보 없음,20:00-25:00,정보 없음,20:00-25:00,정보 없음,20:00-25:00,정보 없음,0507-1373-1799
2023-07-26 16:54:42,mangwon,화월,이자카야,4.75,233,서울 마포구 포은로 75 1층 화월,휴무,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,0507-1359-1716
2023-07-26 16:54:42,mangwon,리파인 망원,요리주점,0.0,176,서울 마포구 포은로 63 형섭빌딩 2층,17:00-25:00,정보 없음,휴무,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-25:00,정보 없음,0507-1346-3024
2023-07-26 16:54:42,mangwon,망원 그곳,"맥주,호프",4.61,615,서울 마포구 월드컵로13길 19-19,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-27:00,정보 없음,18:00-27:00,정보 없음,18:00-25:00,정보 없음,010-3745-7037
2023-07-26 16:54:42,mangwon,꿩먹고알먹고,"맥주,호프",4.23,226,서울 마포구 망원로11길 6 2층,17:30-25:30,00:30,17:30-25:30,00:30,17:30-25:30,00:30,17:30-25:30,00:30,17:30-25:30,00:30,17:30-25:30,00:30,17:30-25:30,00:30,0507-1307-8305
2023-07-26 16:54:42,mangwon,살쾡이,요리주점,0.0,99,서울 마포구 포은로 86-1 1층 103호(망원동),18:30-25:00,00:00,18:30-25:00,00:00,휴무,정보 없음,18:30-25:00,00:00,18:00-26:00,01:00,18:00-26:00,01:00,18:30-25:00,00:00,0507-1358-5632
2023-07-26 16:54:42,mangwon,월명식당,이자카야,4.7,224,서울 마포구 방울내로 66 1층,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,휴무,정보 없음,010-5415-3562
2023-07-26 16:54:42,mangwon,세이슈,이자카야,0.0,179,서울 마포구 희우정로16길 54-5 2층,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,18:00-27:00,02:00,18:00-27:00,02:00,18:00-26:00,01:00,0507-1352-4083
2023-07-26 16:54:42,mangwon,휴식당,요리주점,0.0,109,서울 마포구 동교로 43-1 1층 매장전화 부재시 01046342896,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-28:00,정보 없음,17:00-28:00,정보 없음,17:00-27:00,정보 없음,0507-1355-2896
2023-07-26 16:54:42,mangwon,PNPV,술집,0.0,119,서울 마포구 포은로 63 3층,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,0507-1380-6667
2023-07-26 16:54:42,mangwon,트릴토리,이자카야,0.0,266,서울 마포구 망원로7길 54,18:30-23:30,22:30,18:30-23:30,22:30,18:30-23:30,22:30,휴무,정보 없음,18:30-23:30,22:30,17:30-23:30,22:30,17:30-23:30,22:30,010-4939-7496
2023-07-26 16:54:42,mangwon,주로,요리주점,0.0,63,서울 마포구 월드컵로19길 42 2층,17:30-25:00,00:00,휴무,정보 없음,17:30-25:00,00:00,17:30-25:00,00:00,17:30-26:00,01:00,17:30-26:00,01:00,17:30-25:00,00:00,0507-1355-1575
2023-07-26 16:54:42,mangwon,리파인 망원,요리주점,0.0,176,서울 마포구 포은로 63 형섭빌딩 2층,17:00-25:00,정보 없음,휴무,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-25:00,정보 없음,0507-1346-3024
2023-07-26 16:54:42,mangwon,코멘터리사운드 와인샵 & 와인바,와인,0.0,72,서울 마포구 월드컵로23길 18 201호,휴무,정보 없음,18:00-24:00,23:30,18:00-24:00,23:30,18:00-24:00,23:30,18:00-24:00,23:30,15:00-24:00,23:30,15:00-22:00,정보 없음,0507-1425-2281
2023-07-26 16:54:42,mangwon,호아,요리주점,0.0,108,서울 마포구 희우정로16길 17 지층,휴무,정보 없음,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,16:00-26:00,01:00,16:00-26:00,정보 없음,0507-1307-5938
2023-07-26 16:54:42,mangwon,오비비어,요리주점,0.0,81,서울 마포구 월드컵로29길 7,16:00-27:00,정보 없음,16:00-27:00,정보 없음,16:00-27:00,정보 없음,16:00-27:00,정보 없음,16:00-27:00,정보 없음,16:00-27:00,정보 없음,16:00-27:00,정보 없음,0507-1339-6338
2023-07-26 16:54:42,mangwon,해진뒤,요리주점,4.82,784,서울 마포구 월드컵로23길 20 2층,휴무,정보 없음,19:00-21:45,정보 없음,19:00-21:45,정보 없음,19:00-24:00,정보 없음,19:00-24:00,정보 없음,19:00-24:00,정보 없음,휴무,정보 없음,0507-1372-2320
2023-07-26 16:54:42,mangwon,한지,요리주점,0.0,225,서울 마포구 포은로 97-1,16:00-27:00,정보 없음,휴무,정보 없음,16:00-27:00,정보 없음,16:00-27:00,정보 없음,16:00-27:00,정보 없음,16:00-27:00,정보 없음,16:00-27:00,정보 없음,02-6082-2341
2023-07-26 16:54:42,mangwon,오복수산시장,요리주점,4.3,299,서울 마포구 포은로 78 1층 오복수산시장,휴무,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-25:00,정보 없음,0507-1312-9873
2023-07-26 16:54:42,mangwon,건어물라운지,"맥주,호프",4.38,292,서울 마포구 포은로 105,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,0507-1423-8955
2023-07-26 16:54:42,mangwon,녹턴사카바,바(BAR),4.54,352,서울 마포구 동교로 37,18:00-25:00,정보 없음,휴무,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-25:00,정보 없음,02-336-0710
2023-07-26 16:54:42,mangwon,노스터,바(BAR),0.0,180,서울 마포구 포은로 70 2층,휴무,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,0507-1478-5456
2023-07-26 16:54:42,mangwon,프로그,바(BAR),4.58,251,서울 마포구 포은로 61,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,휴무,정보 없음,0507-1328-4360
2023-07-26 16:54:42,mangwon,호랑이 라운지,바(BAR),0.0,379,서울 마포구 월드컵로 103-1 2층,19:00-26:00,01:30,19:00-26:00,01:30,19:00-26:00,01:30,19:00-26:00,01:30,19:00-26:00,01:30,19:00-26:00,01:30,19:00-26:00,01:30,0507-1467-1614
2023-07-26 16:54:42,mangwon,공작,와인,4.96,538,서울 마포구 희우정로12길 23 1층 101호,18:30-24:00,정보 없음,18:30-24:00,정보 없음,18:30-24:00,정보 없음,18:30-24:00,정보 없음,18:30-24:00,정보 없음,17:30-24:00,정보 없음,17:30-24:00,정보 없음,0507-1422-0227
2023-07-26 16:54:42,mangwon,꼬치주간,"오뎅,꼬치",4.48,607,서울 마포구 포은로 70-1,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,0507-1344-9599
2023-07-26 16:54:42,mangwon,책바,요리주점,4.6,523,서울 마포구 포은로 90 301호,휴무,정보 없음,18:30-25:30,정보 없음,18:30-25:30,정보 없음,18:30-25:30,정보 없음,18:30-25:30,정보 없음,18:30-25:30,정보 없음,휴무,정보 없음,0507-1402-5858
2023-07-26 16:54:42,mangwon,시러스,와인,0.0,350,서울 마포구 동교로9길 56,17:00-24:00,정보 없음,정보 없음,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,15:00-24:00,정보 없음,15:00-24:00,정보 없음,0507-1316-1130
2023-07-26 16:54:42,mangwon,망원연속체,바(BAR),0.0,145,서울 마포구 동교로 55 2층,17:00-23:30,정보 없음,17:00-23:30,정보 없음,17:00-23:30,정보 없음,17:00-23:30,정보 없음,17:00-23:30,정보 없음,14:00-23:30,정보 없음,14:00-23:30,정보 없음,0507-1394-3845
2023-07-26 16:54:42,mangwon,슌우,요리주점,0.0,48,서울 마포구 포은로 63 1층,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,16:00-26:00,01:00,16:00-26:00,01:00,0507-1377-5285
2023-07-26 16:54:42,mangwon,단바 서울,바(BAR),4.93,261,서울 마포구 망원로2길 87 1층,휴무,정보 없음,19:00-29:00,04:00,19:00-29:00,04:00,19:00-29:00,04:00,19:00-29:00,04:00,14:00-29:00,04:00,14:00-29:00,정보 없음,0507-1351-4149
2023-07-26 16:54:42,mangwon,망원양화,요리주점,0.0,62,서울 마포구 동교로 33-3 1층 망원양화,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,0507-1354-4130
2023-07-26 16:54:42,mangwon,뱃놀이,요리주점,4.82,399,서울 마포구 월드컵로23길 5 반지층,18:00-24:00,23:00,18:00-24:00,23:00,휴무,정보 없음,18:00-24:00,23:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,23:00,0507-1489-7949
2023-07-26 16:54:42,mangwon,선술집 위군,요리주점,4.6,234,서울 마포구 포은로 74 1층,휴무,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,휴무,정보 없음,02-6083-5628
2023-07-26 16:54:42,mangwon,홍타하우스,요리주점,0.0,78,서울 마포구 희우정로16길 54 세림빌딩 101호,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,휴무,정보 없음,0507-1312-8097
2023-07-26 16:54:42,mangwon,로바타 우직,요리주점,0.0,75,서울 마포구 포은로 86-1 1층,18:00-25:00,00:30,18:00-25:00,00:30,18:00-25:00,00:30,18:00-25:00,00:30,18:00-25:00,00:30,17:00-25:00,00:30,17:00-25:00,00:30,0507-1373-7481
2023-07-26 16:54:42,mangwon,나이트엔데이,바(BAR),0.0,66,"서울 마포구 희우정로10길 15 상가동 112호, 113호",12:00-24:00,정보 없음,12:00-24:00,정보 없음,12:00-24:00,정보 없음,12:00-24:00,정보 없음,12:00-26:00,정보 없음,12:00-26:00,정보 없음,12:00-26:00,정보 없음,0507-1435-9942
2023-07-26 16:54:42,mangwon,위드바틀,와인,5,199,서울 마포구 월드컵로13길 19-23 2층 201호,정보 없음,정보 없음,15:00-23:00,정보 없음,15:00-23:00,정보 없음,15:00-23:00,정보 없음,15:00-24:00,정보 없음,15:00-24:00,정보 없음,14:00-21:00,정보 없음,0507-1459-6040
2023-07-26 16:54:42,mangwon,해금도,술집,0.0,64,서울 마포구 망원로 63 1층,17:00-23:00,22:00,17:00-23:00,22:00,17:00-23:00,22:00,17:00-23:00,22:00,17:00-24:00,23:00,17:00-24:00,23:00,휴무,22:00,02-336-7656
2023-07-26 16:54:42,mangwon,사토,이자카야,0.0,95,서울 마포구 희우정로16길 53 1층,18:00-25:00,00:00,18:00-25:00,00:00,18:00-25:00,00:00,휴무,정보 없음,18:00-25:00,00:00,18:00-25:00,00:00,18:00-25:00,00:00,0507-1346-1630
2023-07-26 16:54:42,mangwon,갑,이자카야,4.54,189,서울 마포구 월드컵로19길 8 지하1층,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,17:30-25:00,정보 없음,17:30-25:00,정보 없음,18:00-23:30,정보 없음,010-3838-6160
2023-07-26 16:54:42,mangwon,시장맥주,"맥주,호프",4.45,415,서울 마포구 월드컵로13길 60 2층,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,휴무,정보 없음,0507-1319-2841
2023-07-26 16:54:42,mangwon,망원엣지 망리단길점,술집,0.0,117,서울 마포구 월드컵로11길 46-14 parc 39 빌딩 4층,15:00-25:00,00:00,휴무,정보 없음,15:00-25:00,00:00,15:00-25:00,00:00,15:00-25:00,00:00,14:00-25:00,00:00,14:00-24:00,00:00,0507-1376-4504
2023-07-26 16:54:42,mangwon,리틀스탠드레몽,요리주점,0.0,46,서울 마포구 방울내로 24-1 1층,휴무,정보 없음,15:00-23:00,정보 없음,15:00-23:00,정보 없음,15:00-23:00,정보 없음,15:00-23:00,정보 없음,15:00-23:00,정보 없음,정보 없음,정보 없음,0507-1376-4535
2023-07-26 16:54:42,mangwon,서교주담 망원,요리주점,0.0,523,서울 마포구 포은로 82 1층,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-26:00,정보 없음,15:00-26:00,정보 없음,15:00-24:00,정보 없음,010-2633-7974
2023-07-26 16:54:42,mangwon,슌우,요리주점,0.0,48,서울 마포구 포은로 63 1층,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,16:00-26:00,01:00,16:00-26:00,01:00,0507-1377-5285
2023-07-26 16:54:42,mangwon,서교주담 망원,요리주점,0.0,523,서울 마포구 포은로 82 1층,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-26:00,정보 없음,15:00-26:00,정보 없음,15:00-24:00,정보 없음,010-2633-7974
2023-07-26 16:54:42,mangwon,너랑나랑호프,"맥주,호프",4.39,826,서울 마포구 월드컵로 61,16:30-26:00,정보 없음,16:30-26:00,정보 없음,16:30-26:00,정보 없음,16:30-26:00,정보 없음,16:30-26:00,정보 없음,16:30-26:00,정보 없음,16:30-26:00,정보 없음,010-4422-5157
2023-07-26 16:54:42,mangwon,정주일가,요리주점,0.0,392,서울 마포구 포은로 66 1층 정주일가,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,0507-1396-4083
2023-07-26 16:54:42,mangwon,미자카야,이자카야,0.0,623,서울 마포구 포은로8길 5 1층,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,휴무,23:00,0507-1362-7637
2023-07-26 16:54:42,mangwon,복덕방내추럴막걸리집,요리주점,4.55,584,서울 마포구 포은로8길 5,휴무,정보 없음,휴무,정보 없음,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,16:00-24:00,23:00,16:00-24:00,정보 없음,070-8864-1414
2023-07-26 16:54:42,mangwon,웅장,요리주점,0.0,217,서울 마포구 포은로 73 1층,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,휴무,00:00,0507-1308-6389
2023-07-26 16:54:42,mangwon,구운,이자카야,4.6,504,서울 마포구 포은로 109 102호,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,휴무,23:00,02-322-5545
2023-07-26 16:54:42,mangwon,나나,이자카야,4.61,257,서울 마포구 희우정로20길 75 1층 나나,휴무,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-24:00,정보 없음,0507-1348-3237
2023-07-26 16:54:42,mangwon,트릴로지,이자카야,0.0,296,서울 마포구 방울내로11길 26 101호,20:00-25:00,정보 없음,휴무,정보 없음,20:00-25:00,정보 없음,20:00-25:00,정보 없음,20:00-25:00,정보 없음,20:00-25:00,정보 없음,20:00-25:00,정보 없음,0507-1373-1799
2023-07-26 16:54:42,mangwon,화월,이자카야,4.75,233,서울 마포구 포은로 75 1층 화월,휴무,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,0507-1359-1716
2023-07-26 16:54:42,mangwon,리파인 망원,요리주점,0.0,176,서울 마포구 포은로 63 형섭빌딩 2층,17:00-25:00,정보 없음,휴무,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-25:00,정보 없음,0507-1346-3024
2023-07-26 16:54:42,mangwon,망원 그곳,"맥주,호프",4.61,615,서울 마포구 월드컵로13길 19-19,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-27:00,정보 없음,18:00-27:00,정보 없음,18:00-25:00,정보 없음,010-3745-7037
2023-07-26 16:54:42,mangwon,꿩먹고알먹고,"맥주,호프",4.23,226,서울 마포구 망원로11길 6 2층,17:30-25:30,00:30,17:30-25:30,00:30,17:30-25:30,00:30,17:30-25:30,00:30,17:30-25:30,00:30,17:30-25:30,00:30,17:30-25:30,00:30,0507-1307-8305
2023-07-26 16:54:42,mangwon,살쾡이,요리주점,0.0,99,서울 마포구 포은로 86-1 1층 103호(망원동),18:30-25:00,00:00,18:30-25:00,00:00,휴무,정보 없음,18:30-25:00,00:00,18:00-26:00,01:00,18:00-26:00,01:00,18:30-25:00,00:00,0507-1358-5632
2023-07-26 16:54:42,mangwon,월명식당,이자카야,4.7,224,서울 마포구 방울내로 66 1층,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,휴무,정보 없음,010-5415-3562
2023-07-26 16:54:42,mangwon,세이슈,이자카야,0.0,179,서울 마포구 희우정로16길 54-5 2층,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,18:00-27:00,02:00,18:00-27:00,02:00,18:00-26:00,01:00,0507-1352-4083
2023-07-26 16:54:42,mangwon,휴식당,요리주점,0.0,109,서울 마포구 동교로 43-1 1층 매장전화 부재시 01046342896,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-28:00,정보 없음,17:00-28:00,정보 없음,17:00-27:00,정보 없음,0507-1355-2896
2023-07-26 16:54:42,mangwon,PNPV,술집,0.0,119,서울 마포구 포은로 63 3층,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,0507-1380-6667
2023-07-26 16:54:42,mangwon,트릴토리,이자카야,0.0,266,서울 마포구 망원로7길 54,18:30-23:30,22:30,18:30-23:30,22:30,18:30-23:30,22:30,휴무,정보 없음,18:30-23:30,22:30,17:30-23:30,22:30,17:30-23:30,22:30,010-4939-7496
2023-07-26 16:54:42,mangwon,주로,요리주점,0.0,63,서울 마포구 월드컵로19길 42 2층,17:30-25:00,00:00,휴무,정보 없음,17:30-25:00,00:00,17:30-25:00,00:00,17:30-26:00,01:00,17:30-26:00,01:00,17:30-25:00,00:00,0507-1355-1575
2023-07-26 16:54:42,mangwon,리파인 망원,요리주점,0.0,176,서울 마포구 포은로 63 형섭빌딩 2층,17:00-25:00,정보 없음,휴무,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-25:00,정보 없음,0507-1346-3024
2023-07-26 16:54:42,mangwon,코멘터리사운드 와인샵 & 와인바,와인,0.0,72,서울 마포구 월드컵로23길 18 201호,휴무,정보 없음,18:00-24:00,23:30,18:00-24:00,23:30,18:00-24:00,23:30,18:00-24:00,23:30,15:00-24:00,23:30,15:00-22:00,정보 없음,0507-1425-2281
2023-07-26 16:54:42,mangwon,호아,요리주점,0.0,108,서울 마포구 희우정로16길 17 지층,휴무,정보 없음,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,16:00-26:00,01:00,16:00-26:00,정보 없음,0507-1307-5938
2023-07-26 16:54:42,mangwon,오비비어,요리주점,0.0,81,서울 마포구 월드컵로29길 7,16:00-27:00,정보 없음,16:00-27:00,정보 없음,16:00-27:00,정보 없음,16:00-27:00,정보 없음,16:00-27:00,정보 없음,16:00-27:00,정보 없음,16:00-27:00,정보 없음,0507-1339-6338
2023-07-26 16:54:42,mangwon,해진뒤,요리주점,4.82,784,서울 마포구 월드컵로23길 20 2층,휴무,정보 없음,19:00-21:45,정보 없음,19:00-21:45,정보 없음,19:00-24:00,정보 없음,19:00-24:00,정보 없음,19:00-24:00,정보 없음,휴무,정보 없음,0507-1372-2320
2023-07-26 16:54:42,mangwon,한지,요리주점,0.0,225,서울 마포구 포은로 97-1,16:00-27:00,정보 없음,휴무,정보 없음,16:00-27:00,정보 없음,16:00-27:00,정보 없음,16:00-27:00,정보 없음,16:00-27:00,정보 없음,16:00-27:00,정보 없음,02-6082-2341
2023-07-26 16:54:42,mangwon,오복수산시장,요리주점,4.3,299,서울 마포구 포은로 78 1층 오복수산시장,휴무,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-25:00,정보 없음,0507-1312-9873
2023-07-26 16:54:42,mangwon,건어물라운지,"맥주,호프",4.38,292,서울 마포구 포은로 105,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,0507-1423-8955
2023-07-26 16:54:42,mangwon,녹턴사카바,바(BAR),4.54,352,서울 마포구 동교로 37,18:00-25:00,정보 없음,휴무,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-25:00,정보 없음,02-336-0710
2023-07-26 16:54:42,mangwon,노스터,바(BAR),0.0,180,서울 마포구 포은로 70 2층,휴무,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,0507-1478-5456
2023-07-26 16:54:42,mangwon,프로그,바(BAR),4.58,251,서울 마포구 포은로 61,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,휴무,정보 없음,0507-1328-4360
2023-07-26 16:54:42,mangwon,호랑이 라운지,바(BAR),0.0,379,서울 마포구 월드컵로 103-1 2층,19:00-26:00,01:30,19:00-26:00,01:30,19:00-26:00,01:30,19:00-26:00,01:30,19:00-26:00,01:30,19:00-26:00,01:30,19:00-26:00,01:30,0507-1467-1614
2023-07-26 16:54:42,mangwon,공작,와인,4.96,538,서울 마포구 희우정로12길 23 1층 101호,18:30-24:00,정보 없음,18:30-24:00,정보 없음,18:30-24:00,정보 없음,18:30-24:00,정보 없음,18:30-24:00,정보 없음,17:30-24:00,정보 없음,17:30-24:00,정보 없음,0507-1422-0227
